pincode,latitude,longitude,district,state
110001,28.6315,77.2167,Central Delhi,Delhi
560001,12.9716,77.5946,Bengaluru Urban,Karnataka
560064,13.1007,77.5963,Bengaluru Urban,Karnataka
411045,18.5590,73.7868,Pune,Maharashtra
411001,18.5204,73.8567,Pune,Maharashtra
400001,18.9333,72.8333,Mumbai,Maharashtra
400051,19.0600,72.8500,Mumbai,Maharashtra
600001,13.0827,80.2707,Chennai,Tamil Nadu
700001,22.5726,88.3639,Kolkata,West Bengal
500001,17.3850,78.4867,Hyderabad,Telangana
380001,23.0225,72.5714,Ahmedabad,Gujarat
302001,26.9124,75.7873,Jaipur,Rajasthan
226001,26.8467,80.9462,Lucknow,Uttar Pradesh
141001,30.9010,75.8573,Ludhiana,Punjab
201301,28.5355,77.3910,Gautam Buddha Nagar,Uttar Pradesh
122001,28.4595,77.0266,Gurugram,Haryana
560002,12.9600,77.5800,Bengaluru Urban,Karnataka
570001,12.3052,76.6552,Mysuru,Karnataka
400703,19.0330,73.0297,Navi Mumbai,Maharashtra
416001,16.7050,74.2433,Kolhapur,Maharashtra
577001,14.4644,75.9218,Davanagere,Karnataka
580001,15.3647,75.1240,Hubballi,Karnataka
590001,15.8497,74.4977,Belagavi,Karnataka
415001,17.6805,74.0183,Satara,Maharashtra
