name,latitude,longitude,highway,state
Kyatsandra Toll Plaza,13.3150,77.1350,NH 48,Karnataka
Karjeevanhalli Toll Plaza,13.6800,76.8500,NH 48,Karnataka
Guilalu Toll Plaza,14.1200,76.5100,NH 48,Karnataka
Hebbalu Toll Plaza,14.4800,75.8800,NH 48,Karnataka
Bankapur Toll Plaza,14.9800,75.2500,NH 48,Karnataka
Narendra Toll Plaza,15.4900,74.9600,NH 48,Karnataka
Hattargi Toll Plaza,16.0500,74.5200,NH 48,Karnataka
Koganolli Toll Plaza,16.3800,74.4500,NH 48,Karnataka
Kini Toll Plaza,16.8500,74.2600,NH 48,Maharashtra
Tasawade Toll Plaza,17.3200,74.1500,NH 48,Maharashtra
Anewadi Toll Plaza,17.7800,73.9800,NH 48,Maharashtra
Khed Shivapur Toll Plaza,18.3500,73.8500,NH 48,Maharashtra
Kherki Daula Toll Plaza,28.3780,76.9740,NH 48,Haryana
Shahjahanpur Toll Plaza,27.9900,76.4400,NH 48,Rajasthan
Manoharpur Toll Plaza,27.3000,75.9500,NH 48,Rajasthan
Kishangarh Toll Plaza,26.5800,74.8600,NH 48,Rajasthan
Bhilwara Toll Plaza,25.3500,74.6300,NH 48,Rajasthan
Chittorgarh Toll Plaza,24.8800,74.6200,NH 48,Rajasthan
Ratlam Toll Plaza,23.3300,75.0300,NH 48,Madhya Pradesh
Dhule Toll Plaza,20.9000,74.7700,NH 48,Maharashtra
Khalapur Toll Plaza,18.8200,73.2800,Mumbai-Pune Exp,Maharashtra
Talegaon Toll Plaza,18.7200,73.6800,Mumbai-Pune Exp,Maharashtra
Jewar Toll Plaza,28.1200,77.5500,Yamuna Exp,Uttar Pradesh
Mathura Toll Plaza,27.4900,77.6700,NH 19,Uttar Pradesh
Tundla Toll Plaza,27.2000,78.2400,NH 19,Uttar Pradesh
